Source Table,Problem,DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,simple_solve,reuse_points,initial_solution,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),budget,backorder_cost,demand_mean,warmup,variable_cost,fixed_cost,lead_mean,holding_cost,n_days,arc_costs,arcs,num_nodes
df_solver_results_new_sscont.jmp,SSCONT,9,True,0.175,0.75,2.375,0.1,4,True,True,"(600, 600)",5,0.1642485238,0.1879649073,.,0,0.208,1,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,9,True,0.175,0.75,2.375,0.1,4,True,True,"(600, 600)",6,0.0209886853,0.433977791,0.982,1,0.982,1,0.056,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,9,True,0.175,0.75,2.375,0.1,4,True,True,"(600, 600)",7,0.135033715,0.7236880579,.,0,.,0,0.056,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,9,True,0.175,0.75,2.375,0.1,4,True,True,"(600, 600)",8,0.2183164187,0.3817726447,.,0,.,0,0.312,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,9,True,0.175,0.75,2.375,0.1,4,True,True,"(600, 600)",9,0.0697131961,0.449258183,.,0,0.624,1,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,10,True,0.15,0.675,2.875,0.7,4,True,True,"(600, 600)",0,0.3407719224,0.4042359434,.,0,0.056,1,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,10,True,0.15,0.675,2.875,0.7,4,True,True,"(600, 600)",1,1.2156051643,0.7187219176,.,0,.,0,.,0,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,10,True,0.15,0.675,2.875,0.7,4,True,True,"(600, 600)",2,0.7741399555,0.5958652053,.,0,0.056,1,0.056,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,10,True,0.15,0.675,2.875,0.7,4,True,True,"(600, 600)",3,1.629397954,1.0143621908,.,0,.,0,0.068,1,0.068,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,10,True,0.15,0.675,2.875,0.7,4,True,True,"(600, 600)",4,0.9685802043,1.3233512498,.,0,0.056,1,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,10,True,0.15,0.675,2.875,0.7,4,True,True,"(600, 600)",5,1.0968607436,0.2376865342,0.722,1,0.332,1,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,10,True,0.15,0.675,2.875,0.7,4,True,True,"(600, 600)",6,0.0420672671,0.3040864674,0.966,1,0.674,1,0.296,1,0.084,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,10,True,0.15,0.675,2.875,0.7,4,True,True,"(600, 600)",7,0.7071634553,1.4666220558,.,0,.,0,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
